OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point
18322,Mission St&Fremont St S-MB/BZ,MISSFRM1,MISSFRMT,5591,37.79015,-122.39695,0,FREMONT ST,MISSION ST,MB,S   ,BZ,0,08/25/2018 02:14:39 PM +0000,1127731,114,,"(37.79015000032188, -122.39694999984265)"
18323,Beale St&Mission St W-MB/BZ,BEALMIS0,BEALMISS,3089,37.791939,-122.396879,0,DAVIS ST,BEALE ST,MB,W   ,BZ,1,08/25/2018 02:14:39 PM +0000,1127732,114,,"(37.79193900039812, -122.39687899944319)"
18324,11TH ST BETWEEN MARKET & MISSION,11STMRKT,,7408,37.775502,-122.418656,0,MARKET ST,11TH ST,,,,0,08/25/2018 02:14:39 PM +0000,1127822,114,,"(37.77550199968213, -122.41865600015531)"
18325,Market & Steuart NW-FS/BZ,MRKTSTEU,,7227,37.794454,-122.394917,0,MUNI METRO TNL,MARKET ST,,NW,,0,08/25/2018 02:14:39 PM +0000,1128234,114,,"(37.794453999596, -122.3949170005009)"
18326,11th St&Market St S-FS/BZ,11STMRK0,11STMRKT,3245,37.775368,-122.418575,0,MARKET ST,11TH ST,FS,S   ,,0,08/25/2018 02:14:39 PM +0000,1128236,114,,"(37.77536800030582, -122.41857500026875)"
18327,Potrero Ave&16th St SW-FS/BZ,POTR16S0,POTR16ST,6027,37.765701,-122.407646,0,16TH ST,POTRERO AVE,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128237,114,,"(37.76570099982682, -122.40764600049884)"
18328,Potrero Ave&24th St SW-FS/BZ,POTR24S0,POTR24ST,6039,37.752942,-122.406393,0,24TH ST,POTRERO AVE,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128238,114,,"(37.75294199977383, -122.40639300019463)"
18329,San Bruno Ave&Silver Ave S-FS/BZ,SBROSIL0,SBROSILV,6365,37.73217,-122.40556,0,SILVER AVE,SAN BRUNO AVE,FS,S   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128239,114,,"(37.732169999924466, -122.40556000056003)"
18330,Bay Shore Blvd&Visitacion Ave E-MB/BZ,BSHRVISI,,7520,37.709523,-122.404631,0,,BAYSHORE BLVD,,,,0,08/25/2018 02:14:39 PM +0000,1128241,114,,"(37.709523000318846, -122.40463100000922)"
18331,McLaren School SW-FS/BZ,SUNYMCS1,SUNYMCSC,6575,37.713553,-122.422219,0,SUNNYDALE AVE,SUNNYDALE AVE,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128242,114,,"(37.71355300007919, -122.422218999574)"
